"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00605494012783776,0.650686543115865,0.473,0.384,1,"4","Upb1"
0.00605983731259027,0.371709243186144,0.437,0.34,1,"4","Hivep2"
0.00611316222632412,0.373309436056572,0.515,0.412,1,"4","March2"
0.00613391461696529,0.260568490250807,0.868,0.773,1,"4","Cct5"
0.00615772792781976,0.270135739531068,0.491,0.367,1,"4","Nploc4"
0.0061611325167271,0.602769072372209,0.581,0.487,1,"4","Atxn2l"
0.00616403581341631,0.557619911879705,0.425,0.318,1,"4","Shc2"
0.00624840675096837,0.39903252698595,0.365,0.273,1,"4","Tspan17"
0.00627146334812409,0.549985017447297,0.335,0.244,1,"4","Bahcc1"
0.00629538995922158,0.698195687882609,0.443,0.35,1,"4","Mdm4"
0.00629588792086716,0.602993006580075,0.467,0.367,1,"4","Smad5"
0.00637420660593153,0.389518506649617,0.401,0.292,1,"4","Zfp592"
0.00638626410408948,0.54185536951316,0.419,0.327,1,"4","Ciz1"
0.00638663460163671,0.272571934954636,0.737,0.616,1,"4","Rad23b"
0.00639787935418222,0.568550920755335,0.497,0.384,1,"4","Tbc1d16"
0.00644174291942671,0.44376970474299,0.533,0.434,1,"4","Setx"
0.00645628902269466,0.318130471703669,0.868,0.739,1,"4","Hnrnph1"
0.00645877977440005,0.378256614848849,0.401,0.306,1,"4","Itgb3bp"
0.0064691090611544,0.468130066716036,0.491,0.412,1,"4","Tmem128"
0.00647799440440669,0.447813468734338,0.329,0.23,1,"4","Klc4"
0.00652368280615756,0.30713946105058,0.389,0.283,1,"4","Glis3"
0.00652906553834519,0.374912562017224,0.461,0.367,1,"4","Tmem222"
0.00654361770276504,0.474075492142311,0.299,0.207,1,"4","Pla2g15"
0.00654366465971258,0.456790394579653,0.527,0.429,1,"4","Ogfod2"
0.00659605922672219,0.952891889193303,0.257,0.178,1,"4","2700046G09Rik"
0.006603058332861,0.34850449315873,0.425,0.33,1,"4","Pomgnt1"
0.00662431833897359,0.331000268041959,0.635,0.539,1,"4","Mrpl14"
0.00665481137742398,0.324839083569334,0.395,0.301,1,"4","3110052M02Rik"
0.00665855025573914,0.385839277805595,0.533,0.398,1,"4","Dock7"
0.00668366796328621,0.346744799822744,0.575,0.468,1,"4","Snx27"
0.00669017071791458,0.447269733343402,0.407,0.311,1,"4","Rcor1"
0.00671424755045943,0.718546659864729,0.305,0.215,1,"4","2310047B19Rik"
0.00673353124972339,0.446787906307069,0.623,0.526,1,"4","2010107H07Rik"
0.00674334227955935,0.706630097123011,0.281,0.188,1,"4","Katnal1"
0.00674440703733017,0.434615700319833,0.365,0.266,1,"4","Sap30bp"
0.0067912032368719,0.465647834665047,0.455,0.371,1,"4","Fam133b"
0.00679859015482372,0.377621301861559,0.587,0.504,1,"4","Ndfip2"
0.00681652558098296,0.287944622712087,0.425,0.314,1,"4","B3galnt1"
0.00683178960610255,0.313086673850595,0.461,0.369,1,"4","Smc4"
0.00687501498984549,0.262823995865756,0.353,0.248,1,"4","Nod1"
0.00687707749160829,0.76936401381191,0.401,0.304,1,"4","Cdkl2"
0.00689054552286051,0.75016032383614,0.425,0.33,1,"4","Rreb1"
0.00695462306837506,0.497121274586974,0.329,0.243,1,"4","Maff"
0.00695502286703709,0.445644730919629,0.503,0.385,1,"4","Atg16l2"
0.00697623942780244,0.57508232267569,0.359,0.265,1,"4","Prkrip1"
0.00699789255187858,0.661158729176543,0.389,0.289,1,"4","Tdrd7"
0.00700793618352087,0.299805413244157,0.449,0.35,1,"4","Mettl11a"
0.00700830025648413,0.552790737948153,0.443,0.352,1,"4","Parg"
0.00705230107675236,1.37544389604755,0.257,0.178,1,"4","Rpap2"
0.00705239192871763,0.613614957262784,0.419,0.322,1,"4","Ppp1r7"
0.00706298380194799,0.276900821533874,0.311,0.22,1,"4","Frmd4a"
0.00707107562561111,0.368341219577043,0.515,0.409,1,"4","Raver1"
0.00708223646649999,0.633017232549939,0.281,0.197,1,"4","Sirt4"
0.00715410177812184,0.371995243908941,0.503,0.405,1,"4","Sap30l"
0.00716030383423708,0.430615531211369,0.443,0.339,1,"4","Pfkm"
0.00717603934290939,0.930666438739379,0.425,0.313,1,"4","Sipa1l1"
0.00718101543745416,0.413734764997024,0.509,0.405,1,"4","Sf3a1"
0.00724889253111138,0.531526667304865,0.341,0.24,1,"4","Smn1"
0.0072835550424566,0.42731436745457,0.461,0.367,1,"4","Hltf"
0.00728387364543333,0.322656804759629,0.521,0.41,1,"4","Ttc39a"
0.00728726994220013,0.27599539836498,0.557,0.449,1,"4","Arl6ip4"
0.00729897007242638,0.61023557792465,0.527,0.433,1,"4","Fam98a"
0.00741202732504275,0.47569862719323,0.581,0.47,1,"4","Cpsf3"
0.00742193125780694,0.595600366989824,0.305,0.223,1,"4","Prkra"
0.0074422245066938,0.318898788532657,0.431,0.333,1,"4","Camk2d"
0.00744829433203116,0.387415198224318,0.299,0.211,1,"4","Invs"
0.00752874670965966,0.517443607111725,0.551,0.47,1,"4","Synj1"
0.00755560879264297,0.539919251764906,0.521,0.434,1,"4","Brix1"
0.00758170278371037,0.698858261529828,0.377,0.297,1,"4","Tubg1"
0.0076503013307273,0.465276680590624,0.293,0.204,1,"4","Nup160"
